run_id,timestamp_utc,experiment_name,dataset_split,image_name,image_path,task,scale_factor,epochs,seed,model,num_layers,hidden_dim,optimizer,rank_schedule,rank_direction,scheduler,scheduler_variant,lr_aux,lr_muon,muon_momentum,muon_ns_steps,rank_floor,rank_start,rank_end,rank_warmup_steps,final_applied_rank,final_target_rank,rank_wsd_warmup_steps,rank_wsd_decay_start_step,rank_wsd_min_lr_ratio,exp_rate,log_rate,logistic_steepness,final_psnr,final_ssim,final_lpips,output_dir,predicted_image
div2k_sisr_rank_schedule_variants__valid__model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42__img-0801,2026-07-24T16:02:01.051477+00:00,div2k_sisr_rank_schedule_variants,valid,0801.png,/workspace/rebut_git/data/div2k/DIV2K_valid_HR/0801.png,super_resolution,4,2000,42,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,0.0003,0.002,0.95,5,64,64,256,1600,256,256,0,1600,0.1,5.0,9.0,12.0,26.0721435546875,0.7487161755561829,0.3827077746391296,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0801,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0801/predicted_image.png
div2k_sisr_rank_schedule_variants__valid__model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42__img-0802,2026-07-24T15:59:45.214768+00:00,div2k_sisr_rank_schedule_variants,valid,0802.png,/workspace/rebut_git/data/div2k/DIV2K_valid_HR/0802.png,super_resolution,4,2000,42,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,0.0003,0.002,0.95,5,64,64,256,1600,256,256,0,1600,0.1,5.0,9.0,12.0,31.19275283813477,0.8470360636711121,0.2006666958332061,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0802,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0802/predicted_image.png
div2k_sisr_rank_schedule_variants__valid__model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42__img-0803,2026-07-24T16:21:42.264482+00:00,div2k_sisr_rank_schedule_variants,valid,0803.png,/workspace/rebut_git/data/div2k/DIV2K_valid_HR/0803.png,super_resolution,4,2000,42,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,0.0003,0.002,0.95,5,64,64,256,1600,256,256,0,1600,0.1,5.0,9.0,12.0,33.935665130615234,0.9371004104614258,0.154974102973938,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0803,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0803/predicted_image.png
div2k_sisr_rank_schedule_variants__valid__model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42__img-0804,2026-07-24T15:56:38.112430+00:00,div2k_sisr_rank_schedule_variants,valid,0804.png,/workspace/rebut_git/data/div2k/DIV2K_valid_HR/0804.png,super_resolution,4,2000,42,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,0.0003,0.002,0.95,5,64,64,256,1600,256,256,0,1600,0.1,5.0,9.0,12.0,24.20136260986328,0.6750448346138,0.4665371477603912,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0804,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0804/predicted_image.png
div2k_sisr_rank_schedule_variants__valid__model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42__img-0805,2026-07-24T16:03:34.709526+00:00,div2k_sisr_rank_schedule_variants,valid,0805.png,/workspace/rebut_git/data/div2k/DIV2K_valid_HR/0805.png,super_resolution,4,2000,42,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,0.0003,0.002,0.95,5,64,64,256,1600,256,256,0,1600,0.1,5.0,9.0,12.0,26.647607803344727,0.7080798745155334,0.5176219940185547,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0805,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0805/predicted_image.png
div2k_sisr_rank_schedule_variants__valid__model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42__img-0806,2026-07-24T16:01:08.565309+00:00,div2k_sisr_rank_schedule_variants,valid,0806.png,/workspace/rebut_git/data/div2k/DIV2K_valid_HR/0806.png,super_resolution,4,2000,42,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,0.0003,0.002,0.95,5,64,64,256,1600,256,256,0,1600,0.1,5.0,9.0,12.0,25.581892013549805,0.7926439642906189,0.3303035795688629,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0806,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0806/predicted_image.png
div2k_sisr_rank_schedule_variants__valid__model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42__img-0807,2026-07-24T16:22:52.266840+00:00,div2k_sisr_rank_schedule_variants,valid,0807.png,/workspace/rebut_git/data/div2k/DIV2K_valid_HR/0807.png,super_resolution,4,2000,42,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,0.0003,0.002,0.95,5,64,64,256,1600,256,256,0,1600,0.1,5.0,9.0,12.0,18.956790924072266,0.4019827842712402,0.6806567311286926,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0807,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0807/predicted_image.png
div2k_sisr_rank_schedule_variants__valid__model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42__img-0808,2026-07-24T15:58:02.437718+00:00,div2k_sisr_rank_schedule_variants,valid,0808.png,/workspace/rebut_git/data/div2k/DIV2K_valid_HR/0808.png,super_resolution,4,2000,42,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,0.0003,0.002,0.95,5,64,64,256,1600,256,256,0,1600,0.1,5.0,9.0,12.0,25.0881290435791,0.7505450248718262,0.3743562400341034,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0808,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0808/predicted_image.png
div2k_sisr_rank_schedule_variants__valid__model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42__img-0809,2026-07-24T16:04:59.205736+00:00,div2k_sisr_rank_schedule_variants,valid,0809.png,/workspace/rebut_git/data/div2k/DIV2K_valid_HR/0809.png,super_resolution,4,2000,42,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,0.0003,0.002,0.95,5,64,64,256,1600,256,256,0,1600,0.1,5.0,9.0,12.0,28.76611518859864,0.774304211139679,0.3316003382205963,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0809,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0809/predicted_image.png
div2k_sisr_rank_schedule_variants__valid__model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42__img-0810,2026-07-24T16:02:42.219936+00:00,div2k_sisr_rank_schedule_variants,valid,0810.png,/workspace/rebut_git/data/div2k/DIV2K_valid_HR/0810.png,super_resolution,4,2000,42,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,0.0003,0.002,0.95,5,64,64,256,1600,256,256,0,1600,0.1,5.0,9.0,12.0,25.45650863647461,0.719672679901123,0.4583212733268738,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0810,/workspace/rebut_git/results/div2k_sisr_rank_schedule_variants/runs/valid/model-finer_mlp-L5-H300__opt-auto_cos_inc-shape-cos-inc__sched-rank_wsd__x4__rf64-rs64-re256__rw1600-ds1600-min0p1__ep2000__lr3e-4-mlr2e-3-mom0p95-ns5__seed42/0810/predicted_image.png
