experiment_name,dataset_split,task,scale_factor,model,num_layers,hidden_dim,optimizer,rank_schedule,rank_direction,scheduler,scheduler_variant,epochs,seed,rank_floor,rank_start,rank_end,rank_warmup_steps,rank_wsd_warmup_steps,rank_wsd_decay_start_step,rank_wsd_min_lr_ratio,lr_aux,lr_muon,muon_momentum,muon_ns_steps,exp_rate,log_rate,logistic_steepness,image_count,final_psnr_mean,final_psnr_std,final_psnr_min,final_psnr_max,final_ssim_mean,final_ssim_std,final_ssim_min,final_ssim_max,final_lpips_mean,final_lpips_std,final_lpips_min,final_lpips_max
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,2000,42,64,64,256,1600,0,1600,0.1,0.0003,0.002,0.95,5,5.0,9.0,12.0,100,25.831300468444823,3.9500766399390614,16.685876846313477,36.77900695800781,0.7304771965742112,0.12061537840019566,0.4019827842712402,0.9737237095832824,0.4200514703243971,0.13389555596256603,0.0733870491385459,0.6809002757072449
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,2000,42,64,64,256,1600,0,1600,0.1,0.0003,0.003,0.95,5,5.0,9.0,12.0,100,25.79177806854248,3.918175305694533,16.669145584106445,36.55379867553711,0.7317996689677239,0.11977189973866509,0.4025582373142242,0.9724612236022948,0.39833770260214807,0.13372663622917463,0.0584420561790466,0.6672658920288086
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,3000,42,64,64,256,2400,0,2400,0.1,0.0003,0.002,0.95,5,5.0,9.0,12.0,100,25.824369850158693,3.9403527725072385,16.680009841918945,36.60387420654297,0.7306827127933502,0.12095942013776735,0.4006006717681885,0.9735260009765624,0.4141274460405111,0.13456873554526172,0.065599076449871,0.6780999898910522
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,finer_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,3000,42,64,64,256,2400,0,2400,0.1,0.0003,0.003,0.95,5,5.0,9.0,12.0,100,25.776361141204834,3.912360620643561,16.613889694213867,36.51505279541016,0.7321177822351456,0.11989594906597256,0.401550680398941,0.9718475341796876,0.3868748805299401,0.13265500699079233,0.0563401840627193,0.6603145599365234
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,real_wire,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,2000,42,64,64,256,1600,0,1600,0.1,0.03,0.002,0.95,5,5.0,9.0,12.0,100,25.058948040008545,3.7737385383019815,16.534555435180664,36.71589660644531,0.6644568118453026,0.1248589366613074,0.347851425409317,0.9711213707923888,0.48929376639425753,0.116536794317455,0.0806903466582298,0.7260851860046387
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,real_wire,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,2000,42,64,64,256,1600,0,1600,0.1,0.03,0.003,0.95,5,5.0,9.0,12.0,100,25.11154932022095,3.716124821326318,16.634050369262695,35.360328674316406,0.6694343221187592,0.12676071853333012,0.3524587154388428,0.9576139450073242,0.4623478661477566,0.12124204777650488,0.0960318595170974,0.6977034211158752
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,real_wire,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,3000,42,64,64,256,2400,0,2400,0.1,0.03,0.002,0.95,5,5.0,9.0,12.0,100,24.388534545898438,4.3021153844718745,10.823254585266112,36.50812149047852,0.6625937926769256,0.12674796295206106,0.3419322073459625,0.9707115292549132,0.47997596211731436,0.12968917528418658,0.0775148719549179,0.9077467918395996
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,real_wire,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,3000,42,64,64,256,2400,0,2400,0.1,0.03,0.003,0.95,5,5.0,9.0,12.0,100,24.39753313064575,4.245638203845607,9.767290115356444,36.48478698730469,0.6657108965516091,0.1285423943348298,0.353024274110794,0.9712276458740234,0.45849610939621926,0.12836726816417512,0.0734061300754547,0.8058794140815735
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,relu_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,2000,42,64,64,256,1600,0,1600,0.1,0.001,0.002,0.95,5,5.0,9.0,12.0,100,19.49565378189087,2.8761427401245534,13.17182445526123,27.45556259155273,0.5061756922055843,0.17087103662625514,0.1308116912841797,0.9351627230644226,0.756952697634697,0.17301539051492426,0.1551079750061035,1.0451109409332275
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,relu_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,2000,42,64,64,256,1600,0,1600,0.1,0.001,0.003,0.95,5,5.0,9.0,12.0,100,19.98542151451111,3.022925341108987,13.558755874633787,28.6719970703125,0.5143771712481976,0.1702497274698815,0.1449227184057235,0.941435158252716,0.742689903229475,0.17313310275158625,0.1444958597421646,1.0352802276611328
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,relu_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,3000,42,64,64,256,2400,0,2400,0.1,0.001,0.002,0.95,5,5.0,9.0,12.0,100,20.15613883972168,3.060454639853532,13.673094749450684,29.350595474243164,0.5170317676663398,0.17014559870695128,0.1548771560192108,0.9433422088623048,0.736554988026619,0.17354280875147154,0.1386142820119857,1.0275981426239014
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,relu_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,3000,42,64,64,256,2400,0,2400,0.1,0.001,0.003,0.95,5,5.0,9.0,12.0,100,20.641164894104005,3.2026982656766325,13.972856521606444,30.51212310791016,0.5266786307096482,0.16926048165510632,0.1753986328840255,0.949166476726532,0.7200928941369057,0.17298287763533657,0.1282031834125518,1.0083390474319458
div2k_sisr_rank_schedule_variants,valid,super_resolution,4,siren_mlp,5,300,auto_cos_inc,cosine,increase,rank_wsd,rank_wsd,2000,42,64,64,256,1600,0,1600,0.1,0.001,0.002,0.95,5,5.0,9.0,12.0,100,25.821163539886474,3.9282304801124304,16.842021942138672,36.72844696044922,0.7335157164931297,0.11802644568993802,0.4092767536640167,0.9736478924751282,0.4289562990516424,0.13529911595428676,0.0757907480001449,0.7062090039253235
